id,title,severity,cwe,cvss_score,cvss_vector,confidence,calibrated_confidence,verified,verification_score,verification_signals,externally_corroborated,corroborating_tools,grounded,reachability,has_concrete_poc,poc_demonstrated,poc_confidence_band,poc_confidence_score,poc_confidence_reason,poc_modality,poc_attempted,abstained,path,start_line,end_line,skill,stage,tags,remediation
F-0001,OS command injection: untrusted input reaches a shell command,high,CWE-78,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,0.9,,True,0.6,concrete_poc;grounded;taint_complete,False,,True,,True,False,,,,,,False,app/services/exporter.py,7,,deterministic_detector,s4_research,deterministic;evidence:structural,"Avoid the shell: pass an argument list with shell=False, or escape every argument with shlex.quote(); validate against an allow-list of permitted commands."
F-0002,Server-side template injection (SSTI): untrusted input is compiled as a template,high,CWE-1336,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,0.9,,True,0.6,concrete_poc;grounded;taint_complete,False,,True,,True,False,,,,,,False,app/main.py,34,,deterministic_detector,s4_research,deterministic;evidence:structural;proven-flow,"Never build a template from request input; pass user data as template CONTEXT (variables), never as the template string itself."
